"Digital Catalog Agent - Technical Quiz","Comprehensive technical quiz covering architecture, implementation, and features","Technical Assessment","medium",35
"Type","Question","Opt1","Opt2","Opt3","Opt4","Correct"
"mcq","What is the primary target audience for this application?","Large corporations","Small Indian retailers and local artisans","IT professionals","Government agencies",1
"mcq","How many product categories are supported?","3","4","5","6",2
"mcq","Which categories are available for products?","Food, Tech, Toys, Books","Grocery, Clothing, Handicraft, Electronics, Other","Fashion, Home, Sports, Auto","Services, Goods, Items, Products",1
"mcq","How many regional Indian languages are supported (excluding English)?","3","4","5","6",2
"mcq","Which languages are supported?","Hindi, Tamil, Telugu, Kannada, Bengali","Hindi, Tamil, Malayalam, Marathi","Punjabi, Gujarati, Oriya, Assamese","Only Hindi and English",0
"mcq","What version of React is used?","16.8.0","17.0.2","18.2.0","19.0.0",2
"short","What frontend build tool is used?","Vite"
"mcq","What is Vite's version number?","4.5.0","5.0.8","6.0.1","3.2.5",1
"mcq","What port does the Vite dev server run on locally?","3000","8080","5173","4200",2
"mcq","What port does the Express backend run on locally?","3000","3001","8080","5000",1
"short","What CSS framework is used for styling?","Tailwind CSS"
"mcq","What version of Tailwind CSS is installed?","2.2.0","3.3.6","4.0.0","2.5.1",1
"short","Which ORM is used to manage the database?","Prisma"
"mcq","What version of Prisma is installed?","4.8.0","5.7.0","6.0.0","3.15.2",1
"mcq","Which cloud provider hosts the PostgreSQL database?","AWS RDS","Google Cloud SQL","Supabase","Azure Database",2
"short","What library is used for password hashing?","bcrypt"
"mcq","What version of bcrypt is used?","4.0.1","5.1.1","6.0.0","3.2.0",1
"mcq","Which middleware handles file uploads in Express?","busboy","formidable","Multer","express-fileupload",2
"mcq","What version of Multer is installed?","1.4.5-lts.1","2.0.0","1.3.0","0.9.8",0
"mcq","Which platform hosts the production deployment?","Heroku","Netlify","Vercel","AWS",2
"mcq","How many tables/models are in the Prisma schema?","2","3","4","5",1
"short","Name all three database models in the schema","User, Product, PaymentSettings"
"mcq","What type of relationship exists between User and Product?","One-to-One","One-to-Many","Many-to-Many","No relation",1
"mcq","What type of relationship exists between User and PaymentSettings?","One-to-One","One-to-Many","Many-to-Many","No relation",0
"boolean","When a User is deleted, their products are cascade deleted","True"
"mcq","Which fields in Product table are specifically for Shopify integration?","productId and storeUrl","shopifyProductId and shopifyUrl","shopifyId and link","storeId and shopUrl",1
"mcq","What format stores UPI and bank account data in PaymentSettings?","XML strings","JSON strings","Binary data","Plain text",1
"short","What is the base URL prefix for all API endpoints?","/api"
"mcq","Which query action is used for user registration?","action=register","action=signup","action=create","action=new",1
"mcq","What HTTP method is used to save payment settings?","POST","PUT","PATCH","UPDATE",1
"mcq","Which browser API captures voice inputs?","Audio API","Media API","Web Speech API","Voice API",2
"short","Which browser API reads text aloud?","Speech Synthesis API"
"mcq","What is the speech code for Hindi?","hi","hi-IN","in-HI","hindi",1
"mcq","What is the speech code for Tamil?","ta","ta-IN","in-TA","tamil",1
"mcq","What Tamil STT quirk does the code handle?","Recognizes 'rice' as 'lice'","Recognizes 'cancel' as 'cancer'","Recognizes 'pot' as 'hot'","Recognizes 'cloth' as 'close'",1
"boolean","The Tamil word for cancel is often transcribed as 'cancer' by STT","True"
"short","Which AI model is the primary engine?","Perplexity sonar-pro"
"mcq","Which model is used as the fallback in Vercel?","OpenAI GPT-3.5","Gemini 1.5 Flash","Claude Sonnet","Llama 2",1
"mcq","In which language does the AI generate product descriptions?","User's input language","English always","Hindi by default","Multiple languages",1
"mcq","What does cleanAiResponse() function remove?","HTML tags","<think> tags, citations, markdown","JavaScript code","SQL queries",1
"boolean","The AI can process Hinglish and Tanglish inputs","True"
"mcq","What is the image upload size limit?","1MB","5MB","10MB","20MB",1
"mcq","What encoding is used for image uploads?","Base64","Binary","Hex","UTF-8",0
"mcq","How many export formats are supported?","3","4","5","6",2
"mcq","Which platforms can catalogs be exported to?","Amazon, Flipkart, Google Merchant, WhatsApp, CSV","eBay, Etsy, Shopify","Facebook, Instagram, Twitter","Only Amazon and Flipkart",0
"boolean","The application supports Shopify Auto-Sync feature","True"
"mcq","What triggers Shopify product sync?","Manual button click","Automatic on product creation","Daily cron job","Weekly batch process",1
"mcq","What is the minimum Node.js version required?","14.0.0","16.0.0","18.0.0","20.0.0",2
"mcq","Which React library is used for icons?","React Icons","Lucide React","Heroicons","Feather Icons",1
"short","What ORM command generates Prisma client?","prisma generate"
